"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards","8144","vooral",".","73","0","1749381835","**vooral** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/vooral/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=vooral)","0"
"cards","8145","waar",".","73","0","1749381835","**waar** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/waar/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=waar)","0"
"cards","8146","weer",".","73","0","1749381835","**weer** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/weer/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=weer)","0"
"cards","8147","willen",".","73","0","1749381835","**willen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/willen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=willen)","0"
"cards","8148","zelf",".","73","0","1749381835","**zelf** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zelf/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zelf)","0"
"cards","8149","zelfs",".","73","0","1749381835","**zelfs** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zelfs/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zelfs)","0"
"cards","8150","zo",".","73","0","1749381835","**zo** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zo/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zo)","0"
"cards","8151","zoals",".","73","0","1749381835","**zoals** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zoals/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zoals)","0"
"cards","8152","zullen",".","73","0","1749381835","**zullen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zullen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zullen)","0"
"cards","8153","aan",".","71","0","1749381835","**aan** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/aan/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=aan)","0"
"cards","8154","als",".","71","0","1749381835","**als** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/als/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=als)","0"
